Date,Australia/US,British/US,Canadian/US,Dutch/US,French/US,German/US,Japanese/US,Swiss/US
1983-07-12,1.146131805,0.65295462,1.2319,2.896,7.786,2.5882,240.65,2.117
1983-07-13,1.147052076,0.65368022,1.2327,2.8875,7.773,2.5848,239.8,2.1125
1983-07-14,1.146131805,0.654450262,1.2327,2.881,7.75,2.5782,240.1,2.115
1983-07-15,1.148765078,0.659413122,1.2341,2.9055,7.8175,2.5985,241.25,2.1285
1983-07-18,1.148105626,0.65802461,1.2328,2.9045,7.806,2.5968,240.8,2.122
1983-07-19,1.145081873,0.658804928,1.233,2.9,7.793,2.592,240.8,2.1185
1983-07-20,1.142857143,0.656167979,1.2327,2.8815,7.747,2.577,239.3,2.0995
1983-07-21,1.13662196,0.655737705,1.2334,2.8915,7.764,2.582,239.6,2.0975
1983-07-22,1.137268282,0.657678395,1.2343,2.9,7.789,2.592,240.25,2.107
1983-07-25,1.135976372,0.657246139,1.2339,2.9165,7.831,2.607,240.55,2.115
1983-07-26,1.137656428,0.655737705,1.2328,2.919,7.849,2.6108,240.6,2.112
1983-07-27,1.136234519,0.654664484,1.2332,2.935,7.888,2.6245,240.87,2.115
1983-07-28,1.13481616,0.655608733,1.232,2.934,7.8985,2.6293,240.8,2.123
1983-07-29,1.136234519,0.657894737,1.234,2.9585,7.96,2.6485,241.75,2.1345
1983-08-01,1.137656428,0.662690524,1.2344,2.994,8.055,2.679,243.7,2.155
1983-08-02,1.139211666,0.663481953,1.2355,2.9715,8,2.661,243.15,2.141
1983-08-03,1.141161703,0.664098818,1.2334,2.9738,8.006,2.6613,243.25,2.154
1983-08-04,1.141813199,0.672268908,1.2338,2.987,8.0325,2.67,243.6,2.1605
1983-08-05,1.143379831,0.673400673,1.2362,3,8.0775,2.682,243.9,2.1705
1983-08-08,1.143510577,0.670690812,1.2363,3.0125,8.113,2.6956,244.25,2.1785
1983-08-09,1.141291942,0.669344043,1.2353,3.006,8.093,2.6895,243.98,2.1775
1983-08-10,1.144426642,0.675219446,1.2369,3.047,8.198,2.7248,245.8,2.1955
1983-08-11,1.147315282,0.676041103,1.2375,3.057,8.227,2.7348,246.35,2.192
1983-08-12,1.147446931,0.674991563,1.2372,3.0475,8.19,2.724,247.05,2.1845
1983-08-15,1.143902997,0.67001675,1.2358,3.034,8.153,2.711,246.9,2.1685
1983-08-16,1.135589371,0.663349917,1.2333,2.9835,8.0085,2.662,243.15,2.1415
1983-08-17,1.134558657,0.660283922,1.2331,2.956,7.9425,2.6405,243.6,2.141
1983-08-18,1.13058225,0.656469507,1.2336,2.95,7.9275,2.6348,242.98,2.145
1983-08-19,1.131990038,0.659195781,1.234,2.9715,7.985,2.6555,244,2.155
1983-08-22,1.128668172,0.654450262,1.2323,2.9465,7.921,2.635,243.1,2.1415
1983-08-23,1.125619091,0.653253201,1.2305,2.9405,7.922,2.6285,243.25,2.138
1983-08-24,1.128668172,0.657981313,1.2299,2.95,7.935,2.636,242.9,2.1465
1983-08-25,1.125872551,0.664010624,1.2295,2.959,7.948,2.6395,243.2,2.146
1983-08-26,1.133272892,0.664672649,1.2305,2.984,8.0125,2.663,245.65,2.171
1983-08-29,1.136105431,0.666222518,1.2313,3,8.063,2.68,246.15,2.1792
1983-08-30,1.137397634,0.667200427,1.2322,3.0075,8.091,2.688,246.25,2.1845
1983-08-31,1.138692781,0.669344043,1.234,3.019,8.115,2.697,246.45,2.187
1983-09-01,1.140510949,0.667824229,1.2334,3.0125,8.11,2.696,246.5,2.1885
1983-09-02,1.141291942,0.668896321,1.2329,3.014,8.11,2.6955,246.8,2.19
1983-09-06,1.13960114,0.667334001,1.2308,2.9995,8.07,2.6805,245.85,2.1775
1983-09-07,1.140771161,0.6709158,1.2318,3.0045,8.092,2.688,245.7,2.181
1983-09-08,1.141031492,0.670151454,1.2308,2.995,8.069,2.677,244.6,2.174
1983-09-09,1.1368804,0.669344043,1.2317,2.9925,8.0425,2.6725,244.55,2.1695
1983-09-12,1.128540797,0.666222518,1.2309,2.976,8.016,2.6607,243.42,2.164
1983-09-13,1.126887537,0.669568129,1.2323,2.998,8.0975,2.68,244.2,2.1795
1983-09-14,1.128795575,0.67114094,1.2338,3.0045,8.11,2.6867,245.3,2.185
1983-09-15,1.126760563,0.668002672,1.234,2.9955,8.088,2.6795,244.65,2.178
1983-09-16,1.128540797,0.665778961,1.2338,2.9835,8.05,2.667,243.55,2.165
1983-09-19,1.125492403,0.662690524,1.2325,2.9775,8.037,2.658,241.7,2.153
1983-09-20,1.123721766,0.663129973,1.2328,2.9855,8.0675,2.6685,242.5,2.159
1983-09-21,1.121076233,0.664010624,1.2324,2.982,8.059,2.6665,242.25,2.161
1983-09-22,1.119695443,0.667779633,1.2337,3.0015,8.111,2.6825,242.8,2.1715
1983-09-23,1.117568172,0.665468823,1.2319,2.966,8.03,2.6525,239.6,2.145
1983-09-26,1.113089938,0.665247472,1.2324,2.961,8.0275,2.646,238.05,2.145
1983-09-27,1.1149515,0.667779633,1.233,2.966,8.043,2.6505,237.9,2.1385
1983-09-28,1.113957892,0.667022412,1.2331,2.9615,8.022,2.6455,236.9,2.133
1983-09-29,1.114827202,0.666888963,1.2328,2.954,8.009,2.641,236.8,2.1306
1983-09-30,1.114702932,0.667690459,1.233,2.9415,7.995,2.6315,235.65,2.12
1983-10-03,1.113709767,0.674081564,1.2325,2.933,7.978,2.623,234.15,2.113
1983-10-04,1.111481605,0.677966102,1.2327,2.9415,8.012,2.6275,234.1,2.1175
1983-10-05,1.104728237,0.671591672,1.2313,2.913,7.938,2.596,232.9,2.1015
1983-10-06,1.095410231,0.671005838,1.2304,2.9005,7.925,2.5805,232.4,2.0945
1983-10-07,1.093852549,0.662690524,1.2299,2.881,7.8725,2.5673,230.85,2.087
1983-10-11,1.092179991,0.663129973,1.232,2.899,7.915,2.5873,232.05,2.1035
1983-10-12,1.096491228,0.664893617,1.233,2.9305,7.99,2.6135,234.28,2.123
1983-10-13,1.097453907,0.666888963,1.2326,2.9185,7.965,2.6046,233.15,2.1155
1983-10-14,1.09733348,0.66693344,1.2329,2.93,7.998,2.618,232.8,2.121
1983-10-17,1.090274749,0.666444518,1.232,2.9175,7.9545,2.603,232.95,2.1103
1983-10-18,1.090393632,0.666444518,1.2313,2.9025,7.905,2.5842,232.3,2.098
1983-10-19,1.090988436,0.66653336,1.2313,2.9065,7.9025,2.585,232.65,2.0995
1983-10-20,1.091107474,0.667645881,1.2315,2.91,7.915,2.5888,232.5,2.104
1983-10-21,1.085069444,0.665867626,1.2312,2.9075,7.9,2.5828,232.38,2.101
1983-10-24,1.088139282,0.667779633,1.2326,2.932,7.972,2.61,233.5,2.1208
1983-10-25,1.087784184,0.666800027,1.2325,2.9247,7.948,2.6042,232.45,2.1145
1983-10-26,1.089918256,0.667556742,1.2326,2.939,7.977,2.6175,232.95,2.123
1983-10-27,1.089561996,0.669254451,1.2325,2.938,7.985,2.619,232.6,2.1245
1983-10-28,1.088613107,0.668896321,1.2325,2.94,7.986,2.6205,232.7,2.1295
1983-10-31,1.09469075,0.668806849,1.2326,2.947,8.013,2.6315,234.05,2.143
1983-11-01,1.094930472,0.673174015,1.2333,2.9735,8.078,2.6545,234.77,2.1615
1983-11-02,1.09469075,0.672449734,1.233,2.964,8.046,2.6452,234.45,2.1505
1983-11-03,1.09301563,0.672494956,1.2332,2.9765,8.0825,2.6585,234.35,2.158
1983-11-04,1.097694841,0.672043011,1.2344,2.9915,8.112,2.6708,236.65,2.17
1983-11-07,1.097935881,0.673174015,1.2355,3.004,8.136,2.6795,237,2.177
1983-11-09,1.095890411,0.673627484,1.2355,2.9905,8.122,2.6675,235.4,2.1675
1983-11-10,1.090631476,0.670690812,1.2347,2.978,8.09,2.658,234.45,2.152
1983-11-14,1.088613107,0.673854447,1.2357,2.9955,8.138,2.6763,234.65,2.163
1983-11-15,1.085187195,0.67335533,1.2365,2.9975,8.143,2.6775,234.45,2.1634
1983-11-16,1.087429317,0.674308833,1.2367,3.006,8.166,2.6865,235.4,2.1665
1983-11-17,1.090512541,0.676452682,1.2375,3.0225,8.199,2.6975,236.25,2.183
1983-11-18,1.089561996,0.680503573,1.2381,3.0275,8.2245,2.7045,235.95,2.1865
1983-11-21,1.088257699,0.682593857,1.2382,3.026,8.213,2.701,235.2,2.183
1983-11-22,1.085894234,0.678426052,1.2367,3.02,8.198,2.6885,234.5,2.1695
1983-11-23,1.086366105,0.681431005,1.2377,3.031,8.23,2.7025,235.05,2.179
1983-11-25,1.092657343,0.685166153,1.2401,3.0375,8.247,2.712,235.1,2.1815
1983-11-28,1.09469075,0.685541921,1.2402,3.039,8.244,2.7122,234.85,2.177
1983-11-29,1.097213079,0.684931507,1.2406,3.043,8.254,2.7152,234.6,2.1815
1983-11-30,1.093254619,0.683526999,1.2392,3.0245,8.204,2.699,232.5,2.1615
1983-12-01,1.075268817,0.685965153,1.24,3.0255,8.215,2.702,232.53,2.163
1983-12-02,1.090512541,0.686247598,1.2444,3.0365,8.244,2.7115,233.4,2.174
1983-12-05,1.100836636,0.691802145,1.2457,3.071,8.335,2.744,235.2,2.19
1983-12-06,1.100715465,0.689417442,1.2438,3.0625,8.307,2.735,234.3,2.1865
1983-12-07,1.101685579,0.694927033,1.2445,3.0615,8.295,2.7355,234.05,2.1905
1983-12-08,1.112966055,0.693721818,1.2449,3.065,8.3055,2.7345,234.3,2.194
1983-12-09,1.100110011,0.696864111,1.2492,3.085,8.366,2.752,236.9,2.2115
1983-12-12,1.098901099,0.698958552,1.2481,3.0852,8.386,2.753,236.65,2.212
1983-12-13,1.109262341,0.705965408,1.2507,3.1085,8.454,2.771,236.25,2.22
1983-12-14,1.121076233,0.706713781,1.2508,3.1065,8.4525,2.7665,235.08,2.2125
1983-12-15,1.113585746,0.703482237,1.2493,3.1105,8.45,2.772,234.9,2.2135
1983-12-16,1.119820829,0.706713781,1.2511,3.116,8.468,2.7767,235.5,2.216
1983-12-19,1.137656428,0.705119165,1.2501,3.1135,8.454,2.772,236.1,2.2115
1983-12-20,1.13960114,0.704721635,1.2488,3.11,8.45,2.7675,234.8,2.208
1983-12-21,1.128668172,0.702987698,1.2491,3.114,8.46,2.769,234.7,2.2105
1983-12-22,1.109262341,0.700770848,1.2477,3.11,8.459,2.7685,234.05,2.2115
1983-12-23,1.111111111,0.698567936,1.246,3.098,8.435,2.759,233.9,2.198
1983-12-27,1.111111111,0.698324022,1.2451,3.096,8.435,2.7558,233.8,2.19
1983-12-28,1.112594571,0.69637883,1.2461,3.095,8.4165,2.7515,233.4,2.189
1983-12-29,1.115448968,0.690846287,1.245,3.0665,8.34,2.7285,232.2,2.184
1983-12-30,1.115448968,0.688942473,1.2445,3.062,8.335,2.725,231.7,2.179
1984-01-03,1.114206128,0.699937006,1.2461,3.1,8.445,2.7605,232.45,2.2165
1984-01-04,1.114206128,0.705566923,1.249,3.1275,8.51,2.788,233.42,2.233
1984-01-05,1.111728738,0.707964602,1.2496,3.138,8.535,2.798,232.7,2.2315
1984-01-06,1.099505223,0.710732054,1.2497,3.15,8.574,2.8107,232.7,2.2383
1984-01-09,1.097935881,0.712859994,1.2523,3.1755,8.64,2.829,233.3,2.252
1984-01-10,1.100473203,0.71306332,1.2518,3.162,8.597,2.814,233.45,2.2355
1984-01-11,1.109508488,0.716178472,1.2523,3.189,8.691,2.8395,234.45,2.253
1984-01-12,1.106806862,0.715256419,1.2499,3.1885,8.6875,2.8395,234.87,2.25
1984-01-13,1.101928375,0.709219858,1.2473,3.159,8.595,2.808,233.4,2.2275
1984-01-16,1.104362231,0.704473406,1.2448,3.1472,8.557,2.798,233.3,2.222
1984-01-17,1.107419712,0.708968451,1.2481,3.1595,8.59,2.8085,234.28,2.2365
1984-01-18,1.11049417,0.707213579,1.2485,3.159,8.574,2.803,233.6,2.2325
1984-01-19,1.110124334,0.705218618,1.2466,3.1425,8.545,2.7925,233.35,2.223
1984-01-20,1.108401685,0.714030703,1.2472,3.1715,8.63,2.8205,234.5,2.2405
1984-01-23,1.106806862,0.712301446,1.2458,3.167,8.595,2.812,233.85,2.237
1984-01-24,1.104362231,0.714796283,1.2475,3.1775,8.6375,2.826,234.35,2.247
1984-01-25,1.100715465,0.71392875,1.2479,3.1765,8.6325,2.823,234.2,2.244
1984-01-26,1.097694841,0.711237553,1.2466,3.1615,8.61,2.811,234.1,2.2383
1984-01-27,1.091941472,0.712504453,1.2482,3.1745,8.63,2.821,234.28,2.246
1984-01-30,1.090274749,0.710530055,1.2486,3.165,8.6,2.8117,234.58,2.2415
1984-01-31,1.090274749,0.713673994,1.2493,3.1735,8.616,2.8165,234.67,2.253
1984-02-01,1.08577633,0.709219858,1.2473,3.146,8.5465,2.792,234.25,2.235
1984-02-02,1.083188908,0.702987698,1.246,3.113,8.48,2.76,233.6,2.2175
1984-02-03,1.085187195,0.69881202,1.2464,3.09,8.4175,2.7355,232.7,2.197
1984-02-06,1.085187195,0.702987698,1.2453,3.094,8.414,2.743,233.1,2.213
1984-02-07,1.08483402,0.708867938,1.2477,3.12,8.484,2.7655,234.5,2.235
1984-02-08,1.077818495,0.70781427,1.2463,3.106,8.46,2.7535,234.15,2.2295
1984-02-09,1.073537305,0.703729768,1.2461,3.106,8.4225,2.7375,233.88,2.2275
1984-02-10,1.074922068,0.707063565,1.2463,3.09,8.4435,2.7415,234.6,2.24
1984-02-14,1.069861988,0.700280112,1.2476,3.07,8.392,2.722,233.95,2.223
1984-02-15,1.064962726,0.692281066,1.245,3.0175,8.225,2.6672,233.2,2.197
1984-02-16,1.059097649,0.691562932,1.2465,3.024,8.24,2.6735,232.85,2.1925
1984-02-17,1.057753332,0.689179876,1.2476,3.03,8.27,2.6833,233.2,2.1945
1984-02-21,1.063829787,0.693962526,1.2498,3.0505,8.36,2.708,234.1,2.2205
1984-02-22,1.062134891,0.688942473,1.2479,3.0037,8.215,2.6625,233.2,2.194
1984-02-23,1.058985492,0.686106346,1.2494,3.006,8.1975,2.6615,233.6,2.193
1984-02-24,1.059883413,0.679117148,1.2502,2.9655,8.105,2.625,233.2,2.174
1984-02-27,1.060670344,0.678886626,1.2535,2.9745,8.112,2.6362,233.3,2.178
1984-02-28,1.059209829,0.670465974,1.2521,2.94,8.0175,2.6044,233.52,2.1665
1984-02-29,1.059883413,0.6709158,1.2519,2.936,7.995,2.5983,233.43,2.168
1984-03-01,1.059097649,0.676589986,1.2416,2.945,8.039,2.611,233.43,2.176
1984-03-02,1.059434262,0.675219446,1.2511,2.919,7.97,2.5855,228.2,2.1545
1984-03-05,1.047120419,0.673627484,1.2523,2.9115,7.9375,2.5795,223.35,2.128
1984-03-06,1.046791584,0.673854447,1.2558,2.885,7.878,2.5518,223.35,2.1095
1984-03-07,1.048218029,0.677736361,1.2602,2.884,7.87,2.555,223.25,2.116
1984-03-08,1.049428062,0.685871056,1.2651,2.923,7.9725,2.5875,224.55,2.136
1984-03-09,1.047998323,0.683760684,1.271,2.921,7.955,2.582,224.8,2.134
1984-03-12,1.046901173,0.688136526,1.2784,2.939,8.018,2.603,224.83,2.153
1984-03-13,1.038421599,0.681431005,1.2675,2.9045,7.923,2.572,223.15,2.126
1984-03-14,1.036484245,0.68189567,1.2748,2.899,7.91,2.5655,223.7,2.128
1984-03-15,1.037344398,0.684462697,1.2735,2.919,7.975,2.5835,224.1,2.143
1984-03-16,1.037882719,0.692041522,1.2697,2.9675,8.1025,2.6275,225.85,2.156
1984-03-19,1.046682018,0.693000693,1.2762,2.969,8.0975,2.629,225.8,2.163
1984-03-20,1.045478306,0.694927033,1.2767,2.975,8.12,2.637,226,2.167
1984-03-21,1.051524711,0.698665549,1.2767,2.986,8.1475,2.647,226.8,2.1767
1984-03-22,1.063264221,0.699154024,1.2743,2.9735,8.115,2.6355,226.45,2.175
1984-03-23,1.061571125,0.69637883,1.2773,2.9665,8.1025,2.6285,225.63,2.172
1984-03-26,1.050420168,0.690846287,1.2774,2.934,8.0075,2.5995,224.67,2.157
